State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,State_Abbr
Alabama,4757938.0,4785448.0,4798834.0,4815564.0,4830460.0,4842481.0,4853160.0,4864745.0,4875120.0,4887871.0,AL
Alaska,698895.0,713906.0,722038.0,730399.0,737045.0,736307.0,737547.0,741504.0,739786.0,737438.0,AK
Arizona,6343154.0,6407774.0,6473497.0,6556629.0,6634999.0,6733840.0,6833596.0,6945452.0,7048876.0,7171646.0,AZ
Arkansas,2896843.0,2921978.0,2940407.0,2952109.0,2959549.0,2967726.0,2978407.0,2990410.0,3002997.0,3013825.0,AR
California,36961229.0,37320903.0,37641823.0,37960782.0,38280824.0,38625139.0,38953142.0,39209127.0,39399349.0,39557045.0,CA
Colorado,4972195.0,5048281.0,5121771.0,5193721.0,5270482.0,5351218.0,5452107.0,5540921.0,5615902.0,5695564.0,CO
Connecticut,3561807.0,3579125.0,3588023.0,3594395.0,3594915.0,3594783.0,3587509.0,3578674.0,3573880.0,3572665.0,CT
Delaware,891730.0,899595.0,907316.0,915188.0,923638.0,932596.0,941413.0,949216.0,957078.0,967171.0,DE
District of Columbia,592228.0,605085.0,619602.0,634725.0,650431.0,662513.0,675254.0,686575.0,695691.0,702455.0,DC
Florida,18652644.0,18845785.0,19093352.0,19326230.0,19563166.0,19860330.0,20224249.0,20629982.0,20976812.0,21299325.0,FL
Georgia,9620846.0,9711810.0,9801578.0,9901496.0,9973326.0,10069001.0,10181111.0,10304763.0,10413055.0,10519475.0,GA
Hawaii,1346717.0,1363963.0,1379252.0,1394905.0,1408453.0,1414862.0,1422484.0,1428105.0,1424203.0,1420491.0,HI
Idaho,1554439.0,1570773.0,1583828.0,1595441.0,1611530.0,1631479.0,1651523.0,1682930.0,1718904.0,1754208.0,ID
Illinois,12796778.0,12840762.0,12867291.0,12884119.0,12898269.0,12888962.0,12864342.0,12826895.0,12786196.0,12741080.0,IL
Indiana,6459325.0,6490436.0,6516045.0,6537640.0,6568367.0,6593533.0,6608296.0,6633344.0,6660082.0,6691878.0,IN
Iowa,3032870.0,3050767.0,3066054.0,3076097.0,3093078.0,3109504.0,3121460.0,3131785.0,3143637.0,3156145.0,IA
