State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans,Budget
AK,1814,0.5684,2014,736307.0,1784,1639,145,1209,1109,100,575,530,45,193,179,14,206,137,69,182,119,63,24,18,6,178,160,18,3676398
AL,3724,0.5329999999999999,2014,4842481.0,4561,3518,1043,3115,2373,742,1446,1145,301,457,357,100,729,283,446,618,245,373,111,38,73,542,450,92,16844653
AR,2151,0.4389,2014,2967726.0,2936,1503,1433,2303,1070,1233,633,433,200,240,172,68,519,85,434,516,82,434,3,3,0,361,220,141,4923250
AZ,8873,0.6833,2014,6733840.0,10495,7926,2569,6194,3851,2343,4301,4075,226,1295,1234,61,959,316,643,904,303,601,55,13,42,858,635,223,39258830
CA,44035,0.7057,2014,38625139.0,113952,42515,71437,90765,24857,65908,23187,17658,5529,6956,5128,1828,31078,5131,25947,28200,4417,23783,2878,714,2164,12096,4457,7639,307573759
CO,8466,0.6923,2014,5351218.0,10028,8083,1945,5573,4035,1538,4455,4048,407,1317,1187,130,1621,747,874,1335,635,700,286,112,174,753,528,225,25814762
CT,3411,0.8499,2014,3594783.0,4450,3531,919,3069,2243,826,1381,1288,93,495,458,37,1215,847,368,1026,696,330,189,151,38,295,221,74,3910836
DC,7281,0.9099,2014,662513.0,7748,7352,396,3953,3557,396,3795,3795,0,1231,1231,0,2029,1694,335,1609,1274,335,420,420,0,406,375,31,21213697
DE,1172,0.628,2014,932596.0,901,864,37,584,554,30,317,310,7,104,102,2,91,82,9,88,79,9,3,3,0,93,89,4,6745030
FL,22316,0.7289,2014,19860330.0,41542,19851,21691,28730,12886,15844,12812,6965,5847,4550,2227,2323,7989,1903,6086,6843,1717,5126,1146,186,960,4552,2424,2128,84255169
GA,9256,0.6366,2014,10069001.0,16521,8214,8307,12403,4932,7471,4118,3282,836,1291,1023,268,3004,945,2059,2645,862,1783,359,83,276,1443,647,796,37071955
HI,4336,0.9446,2014,1414862.0,6918,3813,3105,3750,1164,2586,3168,2649,519,790,663,127,1301,199,1102,1109,145,964,192,54,138,593,247,346,11620000
IA,3643,0.6473,2014,3109504.0,3122,2926,196,1544,1368,176,1578,1558,20,487,482,5,244,154,90,211,121,90,33,33,0,202,177,25,8346433
ID,1768,0.5074,2014,1631479.0,2104,1468,636,1234,848,386,870,620,250,264,197,67,244,105,139,156,69,87,88,36,52,215,135,80,4076606
IL,12676,0.7391,2014,12888962.0,13107,11409,1698,7350,5793,1557,5757,5616,141,1880,1824,56,1488,1010,478,1349,891,458,139,119,20,1234,913,321,100101004
IN,6842,0.4772,2014,6593533.0,5971,5568,403,3953,3560,393,2018,2008,10,654,651,3,596,485,111,542,433,109,54,52,2,725,687,38,16411898
KS,3188,0.5684,2014,2900896.0,2783,2534,249,1533,1295,238,1250,1239,11,395,391,4,320,212,108,290,184,106,30,28,2,393,356,37,9158715
KY,4262,0.6199,2014,4414483.0,5089,4258,831,3352,2805,547,1737,1453,284,564,496,68,727,499,228,614,424,190,113,75,38,600,558,42,19006587
LA,4574,0.6935,2014,4644204.0,4606,3503,1103,3444,2364,1080,1162,1139,23,376,368,8,776,262,514,743,232,511,33,30,3,437,332,105,31585302
MA,15471,0.8208,2014,6763652.0,21237,20478,759,6788,6041,747,14449,14437,12,4781,4777,4,3311,3006,305,1590,1285,305,1721,1721,0,1264,1234,30,69697825
MD,5950,0.7452,2014,5958165.0,7856,6267,1589,4980,3872,1108,2876,2395,481,948,803,145,1740,1135,605,1515,997,518,225,138,87,654,555,99,48362263
ME,2730,0.8037,2014,1330760.0,2726,2633,93,1348,1282,66,1378,1351,27,388,376,12,244,218,26,218,200,18,26,18,8,152,138,14,10408035
MI,10643,0.7385,2014,9930589.0,12227,10075,2152,7535,5916,1619,4692,4159,533,1521,1330,191,1293,825,468,1160,745,415,133,80,53,1122,994,128,67691167
MN,7336,0.7297,2014,5451522.0,8377,7582,795,3652,3006,646,4725,4576,149,1422,1383,39,1235,889,346,885,562,323,350,327,23,317,263,54,28929712
MO,7284,0.4125,2014,6056293.0,7282,6309,973,4307,3651,656,2975,2658,317,902,813,89,997,714,283,735,469,266,262,245,17,652,563,89,29676813
MS,1607,0.5986,2014,2990623.0,2226,1405,821,1714,933,781,512,472,40,179,165,14,282,79,203,275,74,201,7,5,2,279,221,58,5527884
MT,1337,0.3381,2014,1021891.0,1745,911,834,1167,493,674,578,418,160,166,122,44,270,77,193,256,71,185,14,6,8,256,94,162,2648499
