State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
AK,1697,0.745,2009,698895.0,1992,1665,327,1239,989,250,753,676,77,237,210,27,0,0,0,323,245,78,0,0,0,259,222,37
AL,4065,0.422,2009,4757938.0,6080,3913,2167,4686,3031,1655,1394,882,512,509,313,196,0,0,0,1189,652,537,0,0,0,1063,858,205
AR,1802,0.747,2009,2896843.0,2852,1730,1122,2181,1297,884,671,433,238,234,143,91,0,0,0,406,146,260,0,0,0,249,168,82
AZ,9066,0.8440000000000001,2009,6343154.0,14721,8366,6355,9959,4291,5668,4762,4075,687,1406,1251,155,0,0,0,2229,538,1691,0,0,0,2343,1216,1127
CA,52397,0.64,2009,36961229.0,123678,50777,72901,97534,32417,65117,26144,18360,7784,8613,6143,2470,0,0,0,31412,7001,24411,0,0,0,17973,6799,11174
CO,6363,0.851,2009,4972195.0,15268,9031,6237,7401,4576,2825,7867,4455,3412,2224,1353,871,0,0,0,1286,510,776,0,0,0,1471,964,507
CT,4043,0.884,2009,3561807.0,4605,4103,502,2773,2288,485,1832,1815,17,624,617,7,0,0,0,824,640,184,0,0,0,462,401,61
DC,6202,0.8440000000000001,2009,592228.0,6228,5907,321,3934,3613,321,2294,2294,0,703,703,0,0,0,0,1923,1632,291,0,0,0,642,613,29
DE,1197,0.623,2009,891730.0,1130,1083,47,776,729,47,354,354,0,117,117,0,0,0,0,167,150,17,0,0,0,100,91,9
FL,22376,0.752,2009,18652644.0,55599,21867,33732,34432,13827,20605,21167,8040,13127,7751,2613,5138,0,0,0,9062,3493,5569,0,0,0,7135,2907,4228
GA,10584,0.821,2009,9620846.0,20360,9419,10941,14365,5765,8600,5995,3654,2341,1895,1169,726,0,0,0,3771,1620,2151,0,0,0,2760,1373,1387
HI,4210,0.996,2009,1346717.0,5782,3268,2514,2941,1009,1932,2841,2259,582,784,621,163,0,0,0,772,124,648,0,0,0,499,234,265
IA,4288,0.8109999999999999,2009,3032870.0,3380,3221,159,1655,1524,131,1725,1697,28,532,523,9,0,0,0,306,238,68,0,0,0,270,247,23
ID,1944,0.6729999999999999,2009,1554439.0,1939,1477,462,1117,821,296,822,656,166,280,220,60,0,0,0,210,157,53,0,0,0,270,194,76
IL,13153,0.7340000000000001,2009,12796778.0,14055,11851,2204,7475,5642,1833,6580,6209,371,2093,1981,112,0,0,0,2212,1564,648,0,0,0,1028,801,227
IN,7608,0.5429999999999999,2009,6459325.0,6984,5206,1778,4151,2687,1464,2833,2519,314,975,872,103,0,0,0,765,505,260,0,0,0,740,586,154
KS,1399,0.726,2009,2832704.0,1892,1696,196,1238,1086,152,654,610,44,205,191,14,0,0,0,238,196,42,0,0,0,638,578,60
KY,5250,0.82,2009,4317074.0,5999,5299,700,3302,2765,537,2697,2534,163,858,807,51,0,0,0,671,491,180,0,0,0,675,597,78
LA,5070,0.7240000000000001,2009,4491648.0,12504,4118,8386,10098,2387,7711,2406,1731,675,764,555,209,0,0,0,4815,226,4589,0,0,0,1985,441,1544
MA,15036,0.867,2009,6517613.0,15482,14476,1006,7057,6174,883,8425,8302,123,3035,2984,51,0,0,0,1937,1490,447,0,0,0,1890,1709,181
MD,6026,0.8540000000000001,2009,5730388.0,11698,7446,4252,6641,4623,2018,5057,2823,2234,1675,929,746,0,0,0,2062,1243,819,0,0,0,932,698,234
ME,2774,0.76,2009,1329590.0,2444,2406,38,1124,1092,32,1320,1314,6,445,443,2,0,0,0,186,178,8,0,0,0,123,119,4
MI,12059,0.858,2009,9901591.0,14005,11298,2707,7857,6019,1838,6148,5279,869,2012,1723,289,0,0,0,1649,1171,478,0,0,0,1054,877,177
MN,7171,0.8140000000000001,2009,5281203.0,7718,6772,946,3393,2668,725,4325,4104,221,1362,1298,64,0,0,0,1449,1129,320,0,0,0,525,441,84
MO,7391,0.742,2009,5961088.0,6959,5469,1490,3823,2933,890,3136,2536,600,1031,852,179,0,0,0,892,691,201,0,0,0,699,569,130
MS,1451,0.461,2009,2958774.0,2797,1221,1576,1843,655,1188,954,566,388,301,173,128,0,0,0,522,152,370,0,0,0,358,197,161
MT,1214,0.556,2009,983982.0,1196,833,363,752,481,271,444,352,92,133,111,22,0,0,0,160,107,53,0,0,0,206,128,78
NC,9639,0.705,2009,9449566.0,12918,8473,4445,9159,5576,3583,3759,2897,862,1184,910,274,0,0,0,1490,1107,383,0,0,0,1118,854,264
ND,790,0.947,2009,664968.0,773,765,8,548,540,8,225,225,0,72,72,0,0,0,0,70,66,4,0,0,0,168,166,2
NE,3189,0.797,2009,1812683.0,3718,3079,639,2072,1747,325,1646,1332,314,530,433,97,0,0,0,495,413,82,0,0,0,298,263,35
NH,1356,0.908,2009,1316102.0,1645,1406,239,891,670,221,754,736,18,259,253,6,0,0,0,330,285,45,0,0,0,167,150,17
NJ,6809,0.957,2009,8755602.0,13169,11871,1298,5962,5005,957,7207,6866,341,2498,2374,124,0,0,0,934,704,230,0,0,0,618,542,76
NM,2743,0.541,2009,2036802.0,3475,2108,1367,2343,1102,1241,1132,1006,126,304,252,52,0,0,0,779,341,438,0,0,0,408,226,182
NV,8397,0.363,2009,2684665.0,11089,7792,3297,9394,6143,3251,1695,1649,46,438,424,14,0,0,0,1297,196,1101,0,0,0,1936,1329,607
NY,60070,0.908,2009,19307066.0,61067,57454,3613,24557,21005,3552,36510,36449,61,11402,11377,25,0,0,0,4280,2272,2008,0,0,0,5879,5047,832
OH,10757,0.883,2009,11528896.0,12700,10929,1771,7774,6430,1344,4926,4499,427,1648,1520,128,0,0,0,2303,1838,465,0,0,0,1390,1185,205
OK,3661,0.49,2009,3717572.0,4838,3307,1531,3227,2185,1042,1611,1122,489,545,392,153,0,0,0,654,538,116,0,0,0,475,416,59
OR,8563,0.5720000000000001,2009,3808600.0,17309,7442,9867,10443,3992,6451,6866,3450,3416,2233,1138,1095,0,0,0,2842,919,1923,0,0,0,1277,672,605
PA,16112,0.852,2009,12666858.0,15096,13819,1277,7384,6191,1193,7712,7628,84,2497,2466,31,0,0,0,1798,1027,771,0,0,0,1440,1282,158
RI,1450,0.8029999999999999,2009,1053646.0,1607,1556,51,1139,1088,51,468,468,0,202,202,0,0,0,0,220,190,30,0,0,0,120,113,7
SC,4261,0.784,2009,4589872.0,4473,3036,1437,3194,1945,1249,1279,1091,188,474,403,71,0,0,0,674,392,282,0,0,0,629,439,190
SD,1379,0.359,2009,807067.0,731,667,64,445,381,64,286,286,0,87,87,0,0,0,0,109,45,64,0,0,0,160,138,22
TN,5725,0.708,2009,6306019.0,10532,7133,3399,8048,5520,2528,2484,1613,871,967,587,380,0,0,0,2632,1498,1134,0,0,0,1142,839,303
TX,22449,0.614,2009,24801761.0,36761,21658,15103,22564,12943,9621,14197,8715,5482,5282,2936,2346,0,0,0,6020,2741,3279,0,0,0,5491,2735,2756
UT,3215,0.7829999999999999,2009,2723421.0,3795,3540,255,2242,1987,255,1553,1553,0,537,537,0,0,0,0,700,445,255,0,0,0,166,110,56
VA,7947,0.621,2009,7925937.0,8852,7284,1568,5066,3863,1203,3786,3421,365,1247,1117,130,0,0,0,1621,1034,587,0,0,0,960,782,178
VT,791,0.588,2009,624817.0,1214,1057,157,693,571,122,521,486,35,193,178,15,0,0,0,134,79,55,0,0,0,61,52,9
WA,17927,0.706,2009,6667426.0,22782,16237,6545,12086,6639,5447,10696,9598,1098,3465,3071,394,0,0,0,2609,1608,1001,0,0,0,1963,1168,795
WI,5989,0.875,2009,5669264.0,6525,5465,1060,3161,2733,428,3364,2732,632,1108,883,225,0,0,0,716,612,104,0,0,0,608,575,33
WV,1853,0.701,2009,1847775.0,1667,1278,389,1101,848,253,566,430,136,177,138,39,0,0,0,337,239,98,0,0,0,271,177,94
WY,739,0.353,2009,559851.0,515,451,64,340,282,58,175,169,6,72,70,2,0,0,0,79,30,49,0,0,0,117,95,22
AK,1805,0.74,2010,713906.0,1863,1671,192,1118,953,165,745,718,27,244,236,8,0,0,0,164,119,45,0,0,0,300,270,30
AL,4221,0.4370000000000001,2010,4785448.0,6046,3891,2155,4553,2857,1696,1493,1034,459,551,389,162,0,0,0,1043,502,541,0,0,0,1089,911,178
AR,2700,0.691,2010,2921978.0,2762,1728,1034,2120,1312,808,642,416,226,222,137,85,0,0,0,395,145,250,0,0,0,362,247,115
AZ,8914,0.8740000000000001,2010,6407774.0,13711,7214,6497,9226,3366,5860,4485,3848,637,1372,1192,180,0,0,0,1935,544,1391,0,0,0,2230,1052,1178
CA,50282,0.64,2010,37320903.0,123480,50899,72581,96940,32302,64638,26540,18597,7943,8810,6214,2596,0,0,0,31235,6964,24271,0,0,0,17604,6600,11004
CO,6420,0.8759999999999999,2010,5048281.0,15482,9031,6451,7574,4576,2998,7908,4455,3453,2234,1353,881,0,0,0,1432,510,922,0,0,0,1316,853,463
CT,3921,0.914,2010,3579125.0,4316,3817,499,2993,2511,482,1323,1306,17,447,440,7,0,0,0,777,595,182,0,0,0,483,423,60
DC,6375,0.865,2010,605085.0,6539,6109,430,4016,3586,430,2523,2523,0,800,800,0,0,0,0,2110,1723,387,0,0,0,579,563,16
DE,1233,0.635,2010,899595.0,982,930,52,681,629,52,301,301,0,111,111,0,0,0,0,97,71,26,0,0,0,74,69,5
FL,23362,0.723,2010,18845785.0,57551,21817,35734,35738,13231,22507,21813,8586,13227,8017,2874,5143,0,0,0,9232,3700,5532,0,0,0,7794,2818,4976
GA,9965,0.795,2010,9711810.0,19836,8746,11090,14377,5612,8765,5459,3134,2325,1812,1093,719,0,0,0,3635,1495,2140,0,0,0,2766,1372,1394
HI,4259,0.991,2010,1363963.0,5834,3535,2299,2889,944,1945,2945,2591,354,764,675,89,0,0,0,801,96,705,0,0,0,419,176,243
IA,3978,0.848,2010,3050767.0,3014,2903,111,1528,1426,102,1486,1477,9,481,477,4,0,0,0,249,182,67,0,0,0,221,207,14
ID,1905,0.636,2010,1570773.0,2346,1564,782,1445,831,614,901,733,168,287,242,45,0,0,0,111,37,74,0,0,0,239,128,111
IL,13555,0.743,2010,12840762.0,14395,12208,2187,7568,5767,1801,6827,6441,386,2229,2096,133,0,0,0,2130,1435,695,0,0,0,1133,886,247
IN,7661,0.546,2010,6490436.0,6452,5233,1219,3588,2736,852,2864,2497,367,913,805,108,0,0,0,775,478,297,0,0,0,767,633,134
KS,2787,0.67,2010,2858213.0,2024,1828,196,1318,1166,152,706,662,44,212,198,14,0,0,0,191,149,42,0,0,0,711,660,51
KY,5556,0.821,2010,4348200.0,6623,5599,1024,4125,3261,864,2498,2338,160,805,756,49,0,0,0,695,404,291,0,0,0,619,534,85
LA,5148,0.785,2010,4544532.0,12482,4096,8386,10101,2390,7711,2381,1706,675,763,554,209,0,0,0,4815,226,4589,0,0,0,2015,502,1513
MA,15509,0.853,2010,6566431.0,16646,15595,1051,6403,5483,920,10243,10112,131,3526,3479,47,0,0,0,2007,1502,505,0,0,0,1597,1449,148
MD,5900,0.872,2010,5788642.0,10845,6515,4330,5999,3902,2097,4846,2613,2233,1603,864,739,0,0,0,2179,1231,948,0,0,0,910,646,264
ME,2724,0.9,2010,1327632.0,2379,2351,28,1061,1033,28,1318,1318,0,447,447,0,0,0,0,226,221,5,0,0,0,108,105,3
MI,11822,0.895,2010,9877535.0,13058,10219,2839,7365,5371,1994,5693,4848,845,1880,1602,278,0,0,0,1824,1309,515,0,0,0,964,785,179
MN,7325,0.762,2010,5310843.0,7869,6730,1139,3605,2934,671,4264,3796,468,1409,1244,165,0,0,0,1490,1149,341,0,0,0,644,553,91
MO,7440,0.767,2010,5995976.0,8122,6336,1786,4427,3290,1137,3695,3046,649,1196,994,202,0,0,0,1287,977,310,0,0,0,759,629,130
MS,1376,0.464,2010,2970536.0,2743,1181,1562,1924,661,1263,819,520,299,264,161,103,0,0,0,357,130,227,0,0,0,339,215,124
MT,1170,0.526,2010,990722.0,1615,1168,447,890,562,328,725,606,119,238,201,37,0,0,0,145,96,49,0,0,0,262,156,106
NC,9968,0.74,2010,9574293.0,12191,9173,3018,8361,5892,2469,3830,3281,549,1293,1108,185,0,0,0,1479,1077,402,0,0,0,1084,907,177
