State,Total Beds 2018,Participation 2018,Total Beds 2017,Participation 2017,Total Beds 2016,Participation 2016,Total Beds 2015,Participation 2015,Total Beds 2014,Participation 2014,Total Beds 2013,Participation 2013,Total Beds 2012,Participation 2012,Total Beds 2011,Participation 2011,Total Beds 2010,Participation 2010,Total Beds 2009,Participation 2009,,
AK,1940,72.53%,1828,71.50%,1826,68.40%,1860,60.97%,1814,56.84%,1895,80.20%,"1,877",83.50%,"1,939",81.90%,"1,805",74.00%,"1,697",74.50%,,
AL,3188,51.22%,3444,46.49%,3489,55.35%,3613,49.68%,3724,53.30%,4077,55.60%,"4,297",48.20%,"4,497",51.80%,"4,221",43.70%,"4,065",42.20%,,
AR,2362,29.00%,2062,36.03%,2394,37.89%,2486,40.51%,2151,43.89%,2561,58.90%,"2,662",64.60%,"2,710",67.20%,"2,700",69.10%,"1,802",74.70%,,
AZ,6683,69.01%,5880,78.06%,6942,77.83%,7473,76.01%,8873,68.33%,8982,88.50%,"9,238",86.20%,"8,748",86.10%,"8,914",87.40%,"9,066",84.40%,,
CA,43548,64.57%,44473,57.88%,42351,67.60%,45929,65.59%,44035,70.57%,45411,78.00%,"47,144",75.70%,"49,657",70.20%,"50,282",64.00%,"52,397",64.00%,,
CO,7532,48.37%,7071,45.47%,7656,56.30%,7653,67.53%,8466,69.23%,7744,85.70%,"6,536",91.30%,"6,361",88.00%,"6,420",87.60%,"6,363",85.10%,,
CT,3417,87.91%,3094,86.17%,3236,83.59%,3399,82.26%,3411,84.99%,3634,92.40%,"3,539",92.80%,"3,906",87.40%,"3,921",91.40%,"4,043",88.40%,,
DC,6721,88.56%,7402,90.88%,8314,92.52%,6963,91.54%,7281,90.99%,7854,92.60%,"6,243",86.20%,"6,479",86.20%,"6,375",86.50%,"6,202",84.40%,,
DE,1122,52.94%,1143,56.78%,1170,59.91%,1146,54.19%,1172,62.80%,1263,59.80%,"1,239",51.70%,"1,216",59.50%,"1,233",63.50%,"1,197",62.30%,,
FL,19554,71.23%,19982,73.79%,21575,73.65%,22026,73.40%,22316,72.89%,24292,74.60%,"23,272",78.10%,"23,974",75.00%,"23,362",72.30%,"22,376",75.20%,,
GA,7363,47.68%,8127,49.94%,8792,56.35%,9219,60.75%,9256,63.66%,9371,80.80%,"9,534",77.70%,"11,167",66.80%,"9,965",79.50%,"10,584",82.10%,,
GU,140,63.57%,129,64.34%,146,68.49%,154,64.94%,186,86.02%,193,91.40%,259,94.20%,264,97.50%,240,97.20%,234,93.40%,,
HI,3599,92.97%,4252,94.21%,4412,95.49%,4363,91.08%,4336,94.46%,4112,98.70%,"4,230",99.40%,"4,250",95.60%,"4,259",99.10%,"4,210",99.60%,,
IA,3026,71.94%,3266,69.63%,3568,67.32%,3606,55.88%,3643,64.73%,3828,79.90%,"3,627",85.10%,"3,982",85.40%,"3,978",84.80%,"4,288",81.10%,,
ID,1413,34.32%,1691,43.76%,1906,46.90%,1859,50.56%,1768,50.74%,1996,67.30%,"1,795",63.40%,"1,895",61.70%,"1,905",63.60%,"1,944",67.30%,,
IL,10210,79.17%,10177,79.31%,11381,78.30%,11975,71.47%,12676,73.91%,12787,80.50%,"13,246",76.40%,"13,045",75.70%,"13,555",74.30%,"13,153",73.40%,,
IN,5568,54.09%,6142,47.10%,6479,47.26%,6511,49.27%,6842,47.72%,7758,60.90%,"7,389",57.70%,"7,245",61.10%,"7,661",54.60%,"7,608",54.30%,,
KS,2599,39.02%,2516,43.60%,2462,57.35%,2979,54.85%,3188,56.84%,3120,63.50%,"3,085",49.00%,"2,942",64.20%,"2,787",67.00%,"1,399",72.60%,,
KY,2875,52.97%,3540,63.53%,3797,67.40%,4087,64.69%,4262,61.99%,4970,73.80%,"4,547",77.90%,"5,389",68.20%,"5,556",82.10%,"5,250",82.00%,,
LA,2647,67.21%,3164,69.44%,3675,69.06%,4028,66.31%,4574,69.35%,4662,78.00%,"5,041",76.10%,"5,073",77.20%,"5,148",78.50%,"5,070",72.40%,,
MA,17310,89.71%,16614,91.22%,17382,86.73%,17707,86.20%,15471,82.08%,18047,89.70%,"14,782",89.40%,"14,567",87.60%,"15,509",85.30%,"15,036",86.70%,,
MD,5529,77.77%,5616,76.89%,6138,78.19%,6076,75.56%,5950,74.52%,6080,81.60%,"5,769",82.90%,"6,284",82.90%,"5,900",87.20%,"6,026",85.40%,,
ME,2734,82.04%,2457,77.61%,2484,75.68%,2576,79.04%,2730,80.37%,3243,93.60%,"2,675",94.60%,"2,801",88.40%,"2,724",90.00%,"2,774",76.00%,,
MI,8531,68.83%,8624,70.33%,9261,72.01%,10337,74.78%,10643,73.85%,11385,88.80%,"11,827",89.70%,"12,108",87.00%,"11,822",89.50%,"12,059",85.80%,,
