State,Year,Budget
AK,2014,3676398
AK,2015,4440716
AK,2016,3697135
AK,2017,3731246
AK,2018,3925329
AL,2014,16844653
AL,2015,17096421
AL,2016,17172393
AL,2017,17802978
AL,2018,17024088
AR,2014,4923250
AR,2015,39318816
AR,2016,4293758
AR,2017,4270569
AR,2018,4124744
AZ,2014,39258830
AZ,2015,39318816
AZ,2016,37833350
AZ,2017,38526473
AZ,2018,40629348
CA,2014,307573759
CA,2015,336507106
CA,2016,352946617
CA,2017,382567077
CA,2018,415290908
CO,2014,25814762
CO,2015,29714758
CO,2016,29571287
CO,2017,30593296
CO,2018,32685718
CT,2014,3910836
CT,2015,43661777
CT,2016,44583760
CT,2017,45869536
CT,2018,49020640
DC,2014,21213697
DC,2015,23888687
DC,2016,21198186
DC,2017,22090633
DC,2018,22720536
DE,2014,6745030
DE,2015,7785779
DE,2016,7858054
DE,2017,7952480
DE,2018,8249505
FL,2014,84255169
FL,2015,82307340
FL,2016,81566866
FL,2017,84273839
FL,2018,85425367
GA,2014,37071955
GA,2015,38048336
GA,2016,38648979
GA,2017,41032810
GA,2018,43070968
HI,2014,11620000
HI,2015,11366445
HI,2016,11519682
HI,2017,11762496
HI,2018,12096595
IA,2014,8346433
IA,2015,8427262
IA,2016,8838430
IA,2017,9108676
IA,2018,9507330
ID,2014,4076606
ID,2015,3713768
ID,2016,3669450
ID,2017,3717376
ID,2018,4326670
IL,2014,100101004
IL,2015,102735270
IL,2016,104862190
IL,2017,109111520
IL,2018,116089960
IN,2014,16411898
IN,2015,16334262
IN,2016,17889804
IN,2017,19300787
IN,2018,22701327
KS,2014,9158715
KS,2015,8869983
KS,2016,7532204
KS,2017,7835720
KS,2018,7876825
KY,2014,19006587
KY,2015,18635431
KY,2016,19063607
KY,2017,19389282
KY,2018,21156489
LA,2014,31585302
LA,2015,43574952
LA,2016,45603512
LA,2017,47049826
LA,2018,51411972
MA,2014,69697825
MA,2015,68050963
MA,2016,69463083
MA,2017,73552552
MA,2018,78523594
MD,2014,48362263
MD,2015,47028670
MD,2016,48235071
MD,2017,50221552
MD,2018,53385248
ME,2014,10408035
ME,2015,11977853
ME,2016,11810751
ME,2017,12932975
ME,2018,13091730
MI,2014,67691167
MI,2015,70003848
MI,2016,66900360
MI,2017,70300799
MI,2018,73581438
MN,2014,28929712
MN,2015,32076052
MN,2016,31972913
MN,2017,33094266
MN,2018,34078630
MO,2014,29676813
MO,2015,31381154
MO,2016,34048619
MO,2017,35730419
MO,2018,36369017
MS,2014,5527884
MS,2015,5444246
MS,2016,5367903
MS,2017,5026381
MS,2018,5049204
MT,2014,2648499
MT,2015,2455596
MT,2016,2446282
MT,2017,2500597
MT,2018,2681779
NC,2014,21174515
NC,2015,22576438
NC,2016,24797054
NC,2017,25577229
NC,2018,26607889
ND,2014,14798196
ND,2015,2047642
ND,2016,1903991
ND,2017,1816359
ND,2018,1876781
NE,2014,7652645
NE,2015,8478519
NE,2016,2027150
NE,2017,9050905
NE,2018,9108192
NH,2014,6622195
NH,2015,6904996
NH,2016,6969952
NH,2017,7253904
NH,2018,7674344
NJ,2014,38088939
NJ,2015,40749888
NJ,2016,45574610
NJ,2017,45899952
NJ,2018,9108192
NM,2014,9324895
NM,2015,10292957
NM,2016,10758013
NM,2017,10728359
NM,2018,11187659
NV,2014,14798196
NV,2015,15554510
NV,2016,15762359
NV,2017,15862842
NV,2018,16448800
NY,2014,191794858
NY,2015,209102768
NY,2016,195920284
NY,2017,200807611
NY,2018,214909567
OH,2014,88254349
OH,2015,95491545
OH,2016,94869563
OH,2017,95840276
OH,2018,103524425
OK,2014,7830616
OK,2015,8082799
OK,2016,7891816
OK,2017,8123906
OK,2018,8546252
OR,2014,26694306
OR,2015,31894306
OR,2016,34686509
OR,2017,36289447
OR,2018,38595048
PA,2014,92425789
PA,2015,102263057
PA,2016,100357941
PA,2017,102583484
PA,2018,108026699
RI,2014,5262197
RI,2015,5985905
RI,2016,5932887
RI,2017,5796184
RI,2018,7160233
SC,2014,9787199
SC,2015,9906624
SC,2016,9734026
SC,2017,9954311
SC,2018,10854731
SD,2014,1225381
SD,2015,1126640
SD,2016,1264095
SD,2017,1294469
SD,2018,1316523
TN,2014,21574617
TN,2015,20390357
TN,2016,20611110
TN,2017,20735568
TN,2018,21488296
TX,2014,77942382
TX,2015,87150963
TX,2016,86315343
TX,2017,88801836
TX,2018,97243257
UT,2014,8468719
UT,2015,10119752
UT,2016,10089585
UT,2017,10386327
UT,2018,10903163
VA,2014,26943739
VA,2015,28179238
VA,2016,28460145
VA,2017,29919522
VA,2018,30825720
VT,2014,3731788
VT,2015,4268389
VT,2016,4478212
VT,2017,4632864
VT,2018,4874971
WA,2014,48190412
WA,2015,58901039
WA,2016,58134240
WA,2017,59556796
WA,2018,67287147
WI,2014,22621452
WI,2015,23589890
WI,2016,23586361
WI,2017,23750589
WI,2018,25556871
WV,2014,7232708
WV,2015,7648101
WV,2016,7761222
WV,2017,8327359
WV,2018,8751479
WY,2014,327002
WY,2015,290415
WY,2016,291611
WY,2017,292970
WY,2018,288790
