State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
AK,2018,2016,1707,309,1434,1173,261,582,534,48,193,534,18,357,275,82,323,243,80,34,32,2,132,110,22
AL,2018,3434,2424,1010,2570,1693,877,864,731,133,280,731,37,540,341,199,472,277,195,68,64,4,339,267,72
AR,2018,2712,1455,1257,2280,1081,1199,432,374,58,147,374,20,466,153,313,453,153,300,13,0,13,251,150,101
AZ,2018,9865,5799,4066,7259,3354,3905,2606,2445,161,792,2445,47,1774,589,1185,1740,564,1176,34,25,9,893,540,353
CA,2018,129972,40429,89543,109008,23635,85373,20964,16794,4170,6702,16794,1330,34332,5650,28682,32668,4857,27811,1664,793,871,10836,3622,7214
CO,2018,10857,6528,4329,7607,4302,3305,3250,2226,1024,990,2226,301,2738,1160,1578,2571,1099,1472,167,61,106,1073,657,416
CT,2018,3976,3395,581,2280,1699,581,1696,1696,0,553,1696,0,341,238,103,298,195,103,43,43,0,190,177,13
DC,2018,6904,6304,600,3770,3170,600,3134,3134,0,924,3134,0,1781,1481,300,1586,1286,300,195,195,0,306,246,60
DE,2018,1082,989,93,708,615,93,374,374,0,125,374,0,189,170,19,162,143,19,27,27,0,70,67,3
FL,2018,31030,17637,13393,21443,10686,10757,9587,6951,2636,2757,6951,687,5302,1448,3854,4543,1237,3306,759,211,548,2543,1582,961
GA,2018,9499,5900,3599,6943,3557,3386,2556,2343,213,812,2343,87,1080,324,756,992,238,754,88,86,2,705,429,276
GU,2018,854,127,727,209,22,187,645,105,540,120,105,95,66,0,66,12,0,12,54,0,54,14,4,10
HI,2018,6530,3055,3475,4131,1215,2916,2399,1840,559,623,1840,148,1714,258,1456,1529,202,1327,185,56,129,532,240,292
IA,2018,2749,2508,241,1711,1491,220,1038,1017,21,325,1017,5,270,206,64,215,151,64,55,55,0,196,177,19
ID,2018,2012,1289,723,1297,772,525,715,517,198,209,517,51,324,166,158,293,138,155,31,28,3,215,146,69
IL,2018,10643,8701,1942,6752,4876,1876,3891,3825,66,1223,3825,20,1625,921,704,1470,778,692,155,143,12,804,574,230
IN,2018,5258,4679,579,3776,3205,571,1482,1474,8,481,1474,3,449,402,47,428,381,47,21,21,0,539,491,48
KS,2018,2216,1859,357,1443,1097,346,773,762,11,217,762,2,300,191,109,278,169,109,22,22,0,195,167,28
KY,2018,3688,2820,868,2735,1956,779,953,864,89,286,864,24,369,279,90,349,262,87,20,17,3,369,308,61
LA,2018,3059,1994,1065,2540,1502,1038,519,492,27,164,492,8,476,156,320,467,147,320,9,9,0,406,362,44
MA,2018,20068,19083,985,6811,5828,983,13257,13255,2,4149,13255,1,2122,1803,319,1373,1054,319,749,749,0,985,934,51
MD,2018,7144,5380,1764,4914,3382,1532,2230,1998,232,699,1998,59,1409,720,689,1259,608,651,150,112,38,574,470,104
ME,2018,2516,2418,98,1450,1359,91,1066,1059,7,341,1059,2,215,214,1,198,197,1,17,17,0,119,106,13
MI,2018,8351,7452,899,5209,4390,819,3142,3062,80,965,3062,27,861,677,184,756,583,173,105,94,11,693,646,47
MN,2018,7243,6122,1121,3993,3019,974,3250,3103,147,979,3103,44,1066,712,354,970,631,339,96,81,15,301,250,51
MO,2018,5883,4669,1214,3776,2634,1142,2107,2035,72,706,2035,22,1043,655,388,819,454,365,224,201,23,507,415,92
MP,2018,1044,22,1022,357,22,335,687,0,687,151,0,151,0,0,0,0,0,0,0,0,0,0,0,0
MS,2018,1352,731,621,1024,461,563,328,270,58,112,270,17,279,60,219,255,40,215,24,20,4,102,37,65
MT,2018,1405,1032,373,983,682,301,422,350,72,134,350,22,200,112,88,183,97,86,17,15,2,198,125,73
NC,2018,9268,6818,2450,6451,4521,1930,2817,2297,520,897,2297,172,1293,731,562,1175,674,501,118,57,61,884,735,149
ND,2018,542,494,48,467,419,48,75,75,0,27,75,0,76,76,0,69,69,0,7,7,0,9,9,0
NE,2018,2421,2277,144,1745,1608,137,676,669,7,236,669,2,455,398,57,380,325,55,75,73,2,171,168,3
NH,2018,1450,1296,154,835,693,142,615,603,12,215,603,5,161,98,63,141,85,56,20,13,7,143,136,7
NJ,2018,9398,7775,1623,6048,4470,1578,3350,3305,45,1093,3305,13,1286,538,748,1212,464,748,74,74,0,555,470,85
NM,2018,2551,1755,796,1949,1231,718,602,524,78,201,524,27,891,540,351,814,487,327,77,53,24,290,177,113
NV,2018,7544,3305,4239,7058,2873,4185,486,432,54,167,432,16,648,275,373,637,264,373,11,11,0,723,530,193
NY,2018,91897,87603,4294,39827,35562,4265,52070,52041,29,16368,52041,12,7195,5570,1625,5829,4206,1623,1366,1364,2,1224,1184,40
OH,2018,10249,8934,1315,6929,5733,1196,3320,3201,119,1015,3201,35,730,425,305,700,395,305,30,30,0,749,694,55
OK,2018,3871,2680,1191,2823,1848,975,1048,832,216,327,832,70,908,330,578,804,257,547,104,73,31,313,206,107
OR,2018,14476,5551,8925,11139,4027,7112,3337,1524,1813,1108,1524,606,4321,960,3361,4013,862,3151,308,98,210,1363,600,763
PA,2018,13512,11768,1744,8163,6449,1714,5349,5319,30,1760,5319,9,1408,871,537,1318,785,533,90,86,4,982,910,72
PR,2018,3182,670,2512,2921,580,2341,261,90,171,75,90,44,1091,155,936,1074,151,923,17,4,13,82,18,64
