,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,1697,1235,920,0.745,1115,582,0,199,651,1046,1115,730,593,0.812,0,25,119,442,673,582,582,505,327,0.648,80,209,373,0,0,0,0,0,0,507,507,507,350,0.69,62,32,93,414
AL,4065,3515,1484,0.422,1611,2420,34,434,1349,2716,1611,1294,633,0.489,56,208,160,505,1106,2420,2420,2187,817,0.374,274,844,1576,34,34,34,34,1,34,2134,2134,2134,1402,0.657,443,261,771,1363
AR,1802,1330,994,0.747,904,898,0,196,604,1198,904,576,464,0.806,0,148,99,289,615,898,898,754,530,0.703,97,315,583,0,0,0,0,0,0,1564,1564,1559,750,0.481,196,212,667,897
AZ,9066,7145,6028,0.844,4011,5015,40,1540,5390,3676,4011,2729,2064,0.756,61,332,556,2017,1994,5015,5015,4376,3924,0.897,984,3373,1642,40,40,40,40,1,40,3926,3926,3878,3585,0.924,738,246,1347,2579
CA,52397,45819,29311,0.64,20221,31969,207,6843,22592,29805,20221,16418,10918,0.665,5742,7026,1985,6985,13236,31969,31969,29194,18211,0.624,4858,15607,16362,207,207,207,182,0.879,207,36291,36291,36226,18186,0.502,9245,5170,15161,21130
CO,6363,5532,4707,0.851,2729,3609,25,1206,3472,2891,2729,2029,1569,0.773,150,410,351,1149,1580,3609,3609,3478,3113,0.895,855,2323,1286,25,25,25,25,1,25,2350,2350,2350,2200,0.936,1064,196,645,1705
CT,4043,3752,3315,0.884,2356,1687,0,582,1860,2183,2356,2169,2002,0.923,355,233,315,1062,1294,1687,1687,1583,1313,0.829,267,798,889,0,0,0,0,0,0,4069,4069,4024,3436,0.854,1461,530,1578,2491
DC,6202,6106,5152,0.844,3069,3108,25,769,2487,3715,3069,2985,2830,0.948,753,0,177,599,2470,3108,3108,3096,2297,0.742,592,1888,1220,25,25,25,25,1,25,3889,3889,3857,1812,0.47,1740,368,1165,2724
DE,1197,1122,699,0.623,516,671,10,161,510,687,516,441,243,0.551,125,126,65,200,316,671,671,671,446,0.665,96,310,361,10,10,10,10,1,10,291,291,291,235,0.808,117,12,30,261
FL,22376,19622,14751,0.752,9272,12924,180,2365,8609,13767,9272,7490,6268,0.837,738,2122,844,3246,6026,12924,12924,11952,8341,0.698,1521,5363,7561,180,180,180,142,0.789,180,9486,9486,9079,6842,0.754,2323,1281,3917,5569
