,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK,1877,1453,1213,0.835,1191,686,0,258,743,1102,32,1191,840,688,0.819,19,171,144,446,718,27,686,686,613,525,0.856,114,297,384,5,0,0,0,0,0,0,0,669,669,664,495,0.745,61,71,215,454,0
AL,4297,3752,1807,0.482,2016,2247,34,478,1419,2788,90,2016,1700,944,0.555,66,129,220,673,1253,90,2247,2247,2018,829,0.411,258,746,1501,0,34,34,34,34,1,34,0,2609,2609,2609,1439,0.552,594,354,919,1690,0
AR,2662,2124,1373,0.646,1610,1052,0,447,1037,1610,15,1610,1208,695,0.575,0,154,284,653,942,15,1052,1052,916,678,0.74,163,384,668,0,0,0,0,0,0,0,0,1069,1069,1059,642,0.606,84,154,356,713,0
AZ,9238,7556,6511,0.862,4271,4927,40,1589,5148,4084,6,4271,3060,2568,0.839,285,271,581,1915,2356,0,4927,4927,4456,3903,0.876,1008,3233,1688,6,40,40,40,40,1,40,0,6095,6095,6095,4779,0.784,857,673,2054,4041,0
CA,47144,42050,31842,0.757,17541,29429,174,6408,22244,24549,351,17541,14923,10544,0.707,5772,2938,1859,6798,10483,260,29429,29429,26953,21124,0.784,4549,15446,13892,91,174,174,174,174,1,174,0,50057,50057,49763,29809,0.599,12966,6945,21722,28335,0
CO,6536,5960,5444,0.913,2495,4016,25,1193,3507,2912,117,2495,2021,1804,0.893,401,629,323,1180,1299,16,4016,4016,3914,3615,0.924,870,2327,1588,101,25,25,25,25,1,25,0,2992,2992,2992,2689,0.899,1087,358,917,2075,0
CT,3539,3261,3026,0.928,2158,1381,0,487,1518,2017,4,2158,1961,1903,0.97,450,152,271,907,1247,4,1381,1381,1300,1123,0.864,216,611,770,0,0,0,0,0,0,0,0,5263,5263,5215,3780,0.725,1974,730,2147,3116,0
DC,6243,6161,5312,0.862,3317,2926,0,932,2882,3341,20,3317,3235,3108,0.961,1174,0,330,1058,2243,16,2926,2926,2926,2204,0.753,602,1824,1098,4,0,0,0,0,0,0,0,6452,6452,6417,3896,0.607,5014,956,3214,3238,0
DE,1239,1166,603,0.517,529,700,10,200,610,629,0,529,456,289,0.634,100,147,68,204,325,0,700,700,700,304,0.434,132,406,294,.,10,10,10,10,1,10,0,508,508,508,297,0.585,220,25,73,435,0
FL,23272,20589,16088,0.781,10162,12932,178,2853,9613,13533,126,10162,8337,6879,0.825,747,1275,1087,3914,6162,86,12932,12932,12074,9031,0.748,1766,5699,7193,40,178,178,178,178,1,178,0,13892,13892,13584,9092,0.669,3300,2101,5680,8142,70
GA,9534,7891,6129,0.777,4668,4846,20,1422,4345,5134,55,4668,3797,2644,0.696,227,292,560,1677,2962,29,4846,4846,4094,3485,0.851,862,2668,2152,26,20,20,0,0,0,20,0,4822,4822,4796,4089,0.853,1302,974,1994,2828,0
GU,259,206,194,0.942,109,150,0,59,181,66,12,109,66,54,0.818,0,7,24,63,34,12,150,150,140,140,1,35,118,32,.,0,0,0,0,0,0,0,130,130,130,57,0.438,68,17,69,61,0
HI,4230,4021,3998,0.994,1490,2715,25,780,2939,1291,0,1490,1319,1296,0.983,0,64,218,809,681,0,2715,2715,2677,2677,1,562,2130,585,0,25,25,25,25,1,25,0,1263,1263,1263,1245,0.986,659,69,191,1072,0
IA,3627,2932,2496,0.851,1540,2087,0,651,2090,1527,10,1540,1084,861,0.794,45,27,208,684,856,0,2087,2087,1848,1635,0.885,443,1406,671,10,0,0,0,0,0,0,0,1046,1046,1046,757,0.724,195,160,491,555,0
ID,1795,1438,912,0.634,927,868,0,303,948,831,16,927,632,326,0.516,0,125,149,407,504,16,868,868,806,586,0.727,154,541,327,0,0,0,0,0,0,0,0,670,670,661,521,0.788,258,103,316,354,0
IL,13246,11828,9035,0.764,5789,7355,102,2008,6631,6442,173,5789,4969,3058,0.615,671,1160,474,1678,4041,70,7355,7355,6757,5875,0.869,1534,4953,2299,103,102,102,102,102,1,102,0,11517,11517,11517,9066,0.787,2827,1495,4039,7466,12
IN,7389,5944,3430,0.577,4058,3306,25,1204,3921,3404,64,4058,3115,1464,0.47,378,321,585,2013,1987,58,3306,3306,2804,1941,0.692,619,1908,1392,6,25,25,25,25,1,25,0,2605,2605,2597,2175,0.838,488,299,1068,1537,0
KS,3085,2492,1220,0.49,1727,1338,20,448,1548,1526,11,1727,1254,515,0.411,115,133,208,747,980,0,1338,1338,1218,685,0.562,240,801,526,11,20,20,20,20,1,20,0,1203,1203,1203,902,0.75,414,97,300,903,0
KY,4547,3838,2989,0.779,2224,2313,10,671,1969,2490,88,2224,1757,1321,0.752,32,139,231,720,1430,74,2313,2313,2071,1658,0.801,440,1249,1050,14,10,10,10,10,1,10,0,3507,3507,3219,2412,0.749,596,599,1779,1728,0
LA,5041,4380,3335,0.761,2025,2979,37,638,2064,2954,23,2025,1545,1115,0.722,59,156,211,764,1250,11,2979,2979,2798,2183,0.78,427,1300,1667,12,37,37,37,37,1,37,0,3791,3791,3746,3180,0.849,1106,406,1155,2636,0
MA,14782,13729,12279,0.894,10188,4540,54,3064,9219,5507,56,10188,9723,8962,0.922,299,3035,2327,7351,2810,27,4540,4540,3952,3264,0.826,737,1868,2643,29,54,54,54,53,0.981,54,0,10887,10887,10795,7907,0.732,3983,1041,2820,8067,0
MD,5769,5329,4418,0.829,2786,2879,104,794,2593,3176,0,2786,2470,2077,0.841,814,722,313,1206,1580,0,2879,2879,2755,2237,0.812,481,1387,1492,0,104,104,104,104,1,104,0,6260,6260,6260,5448,0.87,892,1186,3380,2880,0
ME,2675,2328,2202,0.946,1089,1571,15,489,1427,1231,17,1089,940,840,0.894,15,3,156,442,630,17,1571,1571,1373,1347,0.981,333,985,586,.,15,15,15,15,1,15,0,2075,2075,2045,1974,0.965,179,393,789,1286,0
MI,11827,9639,8643,0.897,5938,5846,43,1938,6144,5558,125,5938,4650,4176,0.898,696,362,783,2592,3259,87,5846,5846,4946,4424,0.894,1155,3552,2256,38,43,43,43,43,1,43,0,7458,7458,7294,6584,0.903,1181,1330,3587,3871,0
MN,6879,6053,4495,0.743,3597,3272,10,1562,4428,2397,54,3597,2884,1934,0.671,93,474,648,2025,1541,31,3272,3272,3159,2551,0.808,914,2403,846,23,10,10,10,10,1,10,0,9459,9459,9412,7560,0.803,2933,1572,4923,4519,17
MO,8253,6406,4131,0.645,4488,3710,55,1649,4116,4042,95,4488,3004,1640,0.546,190,1165,974,2089,2314,85,3710,3710,3347,2455,0.733,675,2027,1673,10,55,55,55,36,0.655,55,0,4448,4448,4448,3931,0.884,603,1174,2460,1988,0
MS,1542,1136,819,0.721,852,690,0,184,777,682,83,852,494,364,0.737,0,31,116,484,341,27,690,690,642,455,0.709,68,293,341,56,0,0,0,0,0,0,0,358,358,358,333,0.93,53,15,40,318,0
MT,1411,1094,381,0.348,687,724,0,241,745,665,1,687,494,72,0.146,30,121,83,297,389,1,724,724,600,309,0.515,158,448,276,0,0,0,0,0,0,0,0,510,510,510,510,1,68,56,132,378,0
NC,10071,8678,6878,0.793,5233,4825,13,1224,4190,5829,52,5233,4149,3383,0.815,472,251,475,1711,3477,45,4825,4825,4529,3495,0.772,749,2479,2339,7,13,13,0,0,0,13,0,4198,4198,4192,3564,0.85,1023,703,1879,2319,0
ND,724,561,545,0.971,567,157,0,97,302,422,0,567,467,451,0.966,0,33,74,207,360,0,157,157,94,94,1,23,95,62,.,0,0,0,0,0,0,0,496,496,496,375,0.756,111,64,147,349,0
NE,3667,3095,2729,0.882,1688,1979,0,571,1870,1721,76,1688,1348,1196,0.887,0,383,174,733,901,54,1979,1979,1747,1533,0.878,397,1137,820,22,0,0,0,0,0,0,0,822,822,822,454,0.552,151,111,327,495,0
NH,1353,1177,1062,0.902,675,669,9,257,777,573,3,675,527,503,0.954,133,13,105,316,356,3,669,669,641,550,0.858,152,461,208,.,9,9,9,9,1,9,0,878,878,878,695,0.792,208,150,451,427,0
NJ,7882,6862,6415,0.935,4826,3036,20,1402,4039,3752,91,4826,4222,3897,0.923,120,5530,720,2100,2694,32,3036,3036,2620,2498,0.953,682,1939,1038,59,20,20,20,20,1,20,0,4616,4616,4573,3557,0.778,1178,495,1393,3223,0
NM,2545,1850,828,0.448,1418,1127,0,318,1358,1115,72,1418,973,300,0.308,500,69,101,650,724,44,1127,1127,877,528,0.602,217,708,391,28,0,0,0,0,0,0,0,1684,1684,1684,999,0.593,456,242,643,1041,0
NV,4630,4177,2737,0.655,2851,1754,25,432,1353,3196,81,2851,2464,1425,0.578,173,361,213,836,1976,39,1754,1754,1688,1287,0.762,219,517,1195,42,25,25,25,25,1,25,0,2499,2499,2499,1272,0.509,778,174,546,1953,0
NY,69190,64681,58405,0.903,55176,13838,176,13163,43350,25653,187,55176,52368,48305,0.922,206,2682,11333,37322,17730,124,13838,13838,12146,9933,0.818,1830,6028,7747,63,176,176,167,167,1,176,0,30302,30302,29854,20522,0.687,8871,3660,10012,20290,0
OH,12499,11215,9607,0.857,6144,6257,98,2012,6120,6271,108,6144,5186,4363,0.841,492,385,793,2429,3617,98,6257,6257,5931,5146,0.868,1219,3691,2556,10,98,98,98,98,1,98,0,12563,12563,12563,11138,0.887,3022,1801,4818,7745,0
OK,4013,3302,2273,0.688,2895,1059,59,497,1424,2301,288,2895,2312,1531,0.662,20,258,303,919,1735,241,1059,1059,931,692,0.743,194,505,507,47,59,59,59,50,0.847,59,0,1030,1030,964,679,0.704,302,105,302,728,0
OR,7249,6566,3808,0.58,2671,4563,15,1272,3542,3606,101,2671,2234,662,0.296,397,467,324,921,1679,71,4563,4563,4317,3131,0.725,948,2621,1912,30,15,15,15,15,1,15,0,5675,5675,5655,3839,0.679,1366,667,2015,3659,1
PA,16050,14160,11997,0.847,7825,8016,209,2804,8991,6988,71,7825,6684,5368,0.803,756,356,1055,3598,4175,52,8016,8016,7267,6420,0.883,1749,5393,2604,19,209,209,209,209,1,209,0,10857,10857,10775,9534,0.885,2373,1773,5467,5387,3
PR,2199,1691,1443,0.853,583,1539,77,189,591,1608,0,583,386,358,0.927,0,0,51,150,433,0,1539,1539,1228,1008,0.821,138,441,1098,0,77,77,77,77,1,77,0,1391,1391,1386,1321,0.953,651,199,488,903,0
RI,1162,1057,976,0.923,689,456,17,218,561,601,0,689,615,571,0.928,127,23,116,280,409,0,456,456,425,388,0.913,102,281,175,.,17,17,17,17,1,17,0,1919,1919,1915,1320,0.689,310,308,852,1067,0
SC,4825,4311,2890,0.67,1846,2967,12,444,2402,2423,0,1846,1397,1150,0.823,448,318,135,651,1195,0,2967,2967,2902,1728,0.595,309,1751,1216,0,12,12,12,12,1,12,0,1627,1627,1526,1278,0.837,261,211,647,980,0
SD,1444,1032,433,0.42,890,554,0,240,693,653,98,890,478,204,0.427,0,85,179,506,346,38,554,554,554,229,0.413,61,187,307,60,0,0,0,0,0,0,0,614,614,614,434,0.707,139,71,247,367,0
TN,6492,5733,3487,0.608,2887,3581,24,757,2243,4209,40,2887,2352,1311,0.557,356,319,304,990,1867,30,3581,3581,3357,2152,0.641,453,1253,2318,10,24,24,24,24,1,24,0,4288,4288,4125,2774,0.672,1477,809,1994,2294,0
