State,Total Beds,Participation,Year
AK,1697,0.745,2009
AL,4065,0.42200000000000004,2009
AR,1802,0.747,2009
AZ,9066,0.8440000000000001,2009
CA,52397,0.64,2009
CO,6363,0.851,2009
CT,4043,0.884,2009
DC,6202,0.8440000000000001,2009
DE,1197,0.623,2009
FL,22376,0.752,2009
GA,10584,0.821,2009
GU,234,0.934,2009
HI,4210,0.996,2009
IA,4288,0.8109999999999999,2009
ID,1944,0.6729999999999999,2009
IL,13153,0.7340000000000001,2009
IN,7608,0.5429999999999999,2009
KS,1399,0.726,2009
KY,5250,0.82,2009
LA,5070,0.7240000000000001,2009
MA,15036,0.867,2009
MD,6026,0.8540000000000001,2009
ME,2774,0.76,2009
MI,12059,0.858,2009
MN,7171,0.8140000000000001,2009
MO,7391,0.742,2009
MS,1451,0.461,2009
MT,1214,0.556,2009
NC,9639,0.705,2009
ND,790,0.9470000000000001,2009
NE,3189,0.797,2009
NH,1356,0.9079999999999999,2009
NJ,6809,0.9570000000000001,2009
NM,2743,0.541,2009
NV,8397,0.363,2009
NY,60070,0.9079999999999999,2009
OH,10757,0.883,2009
OK,3661,0.49,2009
OR,8563,0.5720000000000001,2009
PA,16112,0.852,2009
PR,2038,0.721,2009
RI,1450,0.8029999999999999,2009
SC,4261,0.784,2009
SD,1379,0.359,2009
TN,5725,0.708,2009
TX,22449,0.614,2009
UT,3215,0.7829999999999999,2009
VA,7947,0.621,2009
VI,123,1.038,2009
VT,791,0.588,2009
WA,17927,0.706,2009
WI,5989,0.875,2009
WV,1853,0.701,2009
WY,739,0.353,2009
Total,424042,,2009
AK,1805,0.74,2010
AL,4221,0.43700000000000006,2010
AR,2700,0.691,2010
AZ,8914,0.8740000000000001,2010
CA,50282,0.64,2010
CO,6420,0.8759999999999999,2010
CT,3921,0.914,2010
DC,6375,0.865,2010
DE,1233,0.635,2010
FL,23362,0.723,2010
GA,9965,0.795,2010
GU,240,0.972,2010
HI,4259,0.991,2010
IA,3978,0.848,2010
ID,1905,0.636,2010
IL,13555,0.743,2010
IN,7661,0.546,2010
KS,2787,0.67,2010
KY,5556,0.821,2010
LA,5148,0.785,2010
MA,15509,0.853,2010
MD,5900,0.872,2010
ME,2724,0.9,2010
MI,11822,0.895,2010
MN,7325,0.762,2010
MO,7440,0.767,2010
MS,1376,0.46399999999999997,2010
MT,1170,0.526,2010
NC,9968,0.74,2010
ND,850,1.0,2010
NE,3490,0.816,2010
NH,1374,0.897,2010
NJ,6845,0.9740000000000001,2010
NM,2692,0.561,2010
NV,3971,0.7609999999999999,2010
NY,63841,0.9059999999999999,2010
OH,11324,0.861,2010
OK,3633,0.634,2010
OR,7640,0.544,2010
PA,15745,0.841,2010
PR,2019,0.887,2010
RI,1215,0.893,2010
SC,3508,0.774,2010
SD,1379,0.348,2010
TN,6202,0.6409999999999999,2010
TX,22393,0.637,2010
UT,2922,0.89,2010
VA,7949,0.718,2010
VI,148,0.647,2010
VT,786,0.605,2010
WA,18071,0.785,2010
WI,6008,0.8640000000000001,2010
WV,2002,0.732,2010
WY,904,0.40700000000000003,2010
Total,424432,,2010
AK,1939,0.8190000000000001,2011
AL,4497,0.518,2011
AR,2710,0.672,2011
AZ,8748,0.861,2011
CA,49657,0.7020000000000001,2011
CO,6361,0.88,2011
CT,3906,0.8740000000000001,2011
DC,6479,0.862,2011
DE,1216,0.595,2011
FL,23974,0.75,2011
GA,11167,0.6679999999999999,2011
GU,264,0.975,2011
HI,4250,0.956,2011
IA,3982,0.8540000000000001,2011
ID,1895,0.617,2011
IL,13045,0.757,2011
IN,7245,0.611,2011
KS,2942,0.642,2011
KY,5389,0.682,2011
LA,5073,0.772,2011
MA,14567,0.8759999999999999,2011
MD,6284,0.8290000000000001,2011
ME,2801,0.884,2011
MI,12108,0.87,2011
MN,6973,0.7340000000000001,2011
MO,8136,0.754,2011
MS,1373,0.46299999999999997,2011
MT,1207,0.503,2011
NC,10277,0.723,2011
ND,739,0.993,2011
NE,3807,0.8390000000000001,2011
NH,1360,0.889,2011
NJ,7576,0.953,2011
NM,2797,0.505,2011
NV,4775,0.5579999999999999,2011
NY,64083,0.888,2011
OH,11693,0.863,2011
OK,3632,0.68,2011
OR,7377,0.579,2011
PA,16363,0.8270000000000001,2011
PR,2053,0.966,2011
RI,1300,0.853,2011
SC,3791,0.747,2011
SD,1319,0.324,2011
TN,6746,0.595,2011
TX,24323,0.674,2011
UT,2954,0.823,2011
VA,7690,0.746,2011
VI,195,1.0,2011
VT,805,0.696,2011
WA,16669,0.81,2011
WI,6692,0.895,2011
WV,1878,0.7090000000000001,2011
WY,753,0.72,2011
Total,429835,,2011
AK,1877,0.835,2012
AL,4297,0.48200000000000004,2012
AR,2662,0.6459999999999999,2012
AZ,9238,0.862,2012
CA,47144,0.757,2012
CO,6536,0.9129999999999999,2012
CT,3539,0.9279999999999999,2012
DC,6243,0.862,2012
DE,1239,0.517,2012
FL,23272,0.7809999999999999,2012
GA,9534,0.777,2012
GU,259,0.9420000000000001,2012
HI,4230,0.9940000000000001,2012
IA,3627,0.851,2012
ID,1795,0.634,2012
IL,13246,0.764,2012
IN,7389,0.5770000000000001,2012
KS,3085,0.49,2012
KY,4547,0.779,2012
LA,5041,0.7609999999999999,2012
MA,14782,0.894,2012
MD,5769,0.8290000000000001,2012
ME,2675,0.946,2012
MI,11827,0.897,2012
MN,6879,0.743,2012
MO,8253,0.645,2012
MS,1542,0.721,2012
MT,1411,0.348,2012
NC,10071,0.7929999999999999,2012
ND,724,0.971,2012
NE,3667,0.882,2012
NH,1353,0.902,2012
NJ,7882,0.935,2012
NM,2545,0.44799999999999995,2012
NV,4630,0.655,2012
NY,69190,0.903,2012
OH,12499,0.857,2012
OK,4013,0.688,2012
OR,7249,0.58,2012
PA,16050,0.847,2012
PR,2199,0.853,2012
RI,1162,0.9229999999999999,2012
SC,4825,0.67,2012
SD,1444,0.42,2012
TN,6492,0.608,2012
TX,22880,0.693,2012
UT,3020,0.8540000000000001,2012
VA,7514,0.75,2012
VI,158,1.0,2012
VT,981,0.5870000000000001,2012
WA,16966,0.8190000000000001,2012
WI,6384,0.9009999999999999,2012
WV,1874,0.688,2012
WY,817,0.7709999999999999,2012
Total,428527,,2012
AK,1895,0.802,2013
AL,4077,0.556,2013
AR,2561,0.589,2013
AZ,8982,0.885,2013
CA,45411,0.78,2013
CO,7744,0.857,2013
CT,3634,0.924,2013
DC,7854,0.9259999999999999,2013
DE,1263,0.598,2013
FL,24292,0.746,2013
GA,9371,0.8079999999999999,2013
GU,193,0.914,2013
HI,4112,0.987,2013
IA,3828,0.799,2013
ID,1996,0.6729999999999999,2013
IL,12787,0.805,2013
IN,7758,0.609,2013
KS,3120,0.635,2013
KY,4970,0.738,2013
LA,4662,0.78,2013
MA,18047,0.897,2013
MD,6080,0.816,2013
ME,3243,0.9359999999999999,2013
MI,11385,0.888,2013
MN,7126,0.7659999999999999,2013
MO,7761,0.701,2013
MS,1823,0.727,2013
MT,1493,0.39399999999999996,2013
NC,10834,0.789,2013
ND,729,0.903,2013
NE,3728,0.8759999999999999,2013
NH,1410,0.915,2013
NJ,8285,0.9420000000000001,2013
NM,2592,0.516,2013
NV,3929,0.88,2013
NY,75992,0.889,2013
OH,13301,0.877,2013
OK,4211,0.7040000000000001,2013
OR,7922,0.644,2013
PA,16370,0.8540000000000001,2013
